aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000,class
409078,na,156,na,0,0,0,0,0,0,49444,1356070,1160236,243146,18612,0,13926286,25404,0,0,660374,1198326,22992320,17536714,9891218,5651258,0,0,0,0,264,0,0,0,0,0,0,0,0,253608,2573900,0,1412,1940,3424,4300,71084,2745342,6,0,0,0,1326154,721488,293634,150472,84824,62894,61288,126376,378,0,33547136,2856,2326,542,2,13926286,589302,2775004,7106610,332440,409640,423400,444580,413580,420500,341620,305680,343180,409077.37,33547136,33547136,2865578,14564,1548,54710,847060,2827508,1209600,0,na,na,na,23777792.64,1609874.88,7601354.88,34,104,0,0,7984,277970,1487804,985122,64044,4278,306,0,na,0,33547136,na,1474,402,898036,174704,1096546,655944,402,0,0,0,na,na,na,na,na,na,na,na,na,6570,78,27510,182618,0,0,0,0,0,0,369890,14488,2264,0,0,113396,12116,5586880,682886,0,0,0,0,4202380,553.5,834,951194,530612,313194,123584,286994,182960,418840,17268,2862,0,0,0,pos
1065426,na,na,na,0,0,0,0,0,91098,5213772,32139160,31064492,4371722,54078,2,28735436,238240,0,na,118864,272080,54168086,40047472,22791528,11705068,na,0,16000,0,0,0,0,0,0,0,0,28068,36845508,26188010,9872738,0,85528,53260,121612,201748,7727378,62906934,1837816,44,2,2,24633936,13200042,4518226,3496222,3279770,6309288,14811728,2680126,4986,0,77100370,na,na,9154,7048,28735436,1220662,10318904,12390776,374820,389400,380180,396220,406160,399100,419260,351740,171280,1065426.14,77100370,77100370,74967954,551878,na,na,642580,72934324,1209600,0,na,na,na,63784404.48,0,9005150.4,0,0,0,6312,818996,14823404,33445696,20356916,2881828,509644,88678,2850,na,na,77100370,na,93872,21512,5235246,3364998,12136666,46878224,5058278,145514,14,0,na,na,na,na,na,na,na,na,na,73172,na,na,na,na,na,na,na,na,na,843696,na,na,na,na,na,na,na,na,na,na,na,na,na,39323.72,53518,9519136,15986786,11725376,5363040,9238274,6474852,5175890,3472124,5895940,82906,na,na,pos
734884,na,na,na,na,na,0,0,0,68714,2247904,15415332,23330470,4440822,54152,184,16813874,15796,0,na,52182,100576,36914750,30723712,12335716,5364802,na,0,0,0,na,na,0,0,0,0,328,3331498,20968574,16590314,4666864,0,34640,25018,57914,116516,9646944,35211378,465164,4,0,0,13848396,8724502,5236732,4074192,3199612,3147978,4704348,2618622,3196,0,49307892,na,na,na,na,16813874,559888,6665788,5632288,359140,288460,241280,250300,234840,288700,328180,269580,224700,734883.23,49307892,49307892,48701540,311976,na,na,837260,45557578,1209600,na,na,na,na,40700018.88,0,4831696.32,na,na,0,222,728596,8611652,21372398,13394546,1213714,174158,44884,17408,na,na,49307892,na,36844,8314,776962,3134216,6205220,32057406,3263678,74936,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,321740,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5132808,7864804,5945480,3082698,6002352,5406076,4488404,2980122,4372134,282700,na,na,pos
386130,0,570,na,0,0,0,3642,162718,3287182,7859710,7177508,2164492,326300,22908,168,10085950,0,0,na,1363060,1778002,17961322,17551846,4222384,1190248,4,0,0,0,3284,1342,0,0,0,0,0,690,1194080,9437282,10372576,0,44720,24226,30536,107658,6511416,11540998,2470066,275008,0,0,6718362,3951758,3097438,1829086,1195140,825132,602978,501396,268332,2015006,23550912,26510,15172,16620,208,10085950,240176,2601378,1613028,228420,206200,245460,204900,237860,201500,209540,220760,105700,386129.01,23550912,23550912,23323852,136604,10972,na,522540,21039960,1209600,0,na,na,na,19074047.04,0,1947476.16,678,6080,116872,908144,2810072,3720746,4334870,4405730,3552508,984658,135262,35766,na,156,23550912,0,27354,3720,520960,1036498,625022,6896284,11735096,159424,270,0,na,na,na,na,na,na,na,na,na,16188,1068,na,na,na,na,na,na,na,na,155162,102548,24356,42834624,6050796,663174,83224,27276220,3138680,17667050,181708,0,0,na,na,8206,2026404,2230546,1370352,747876,1827942,2608712,6809020,3275258,108518,0,0,0,pos
510126,na,na,na,na,na,0,1522,507338,6287646,19039672,19907486,8306978,1817620,230506,2154,19586594,171614,0,na,1632240,3496498,33559772,24697348,22130000,10016930,na,0,196,0,na,na,0,0,0,0,0,0,28,14203956,41896938,0,166758,134370,232532,364652,25218780,29983102,726,2,0,0,21415270,15979352,5238158,3624950,2325876,1727704,1537514,1967232,1309424,975442,57326160,na,na,na,na,19586594,986450,5120950,16952892,352800,367680,446720,614580,705780,558400,600460,496620,256400,510126.86,57326160,57326160,57942858,244587,na,na,405620,56100922,1209600,na,na,na,na,37393261.44,0,18699773.76,2810,13298,6100,1728350,9794114,21615560,15824596,6171188,883306,68572,8912,224,na,na,57326160,na,31600,8282,4038124,13804918,4049176,25699280,8278976,190538,28,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,584144,na,na,na,na,na,na,na,na,na,na,na,na,na,20064.58,13860,19521602,14125206,6703636,2753978,4379622,2762648,3127282,2659600,66248,1100,na,na,pos
988318,12,2814,na,0,0,0,21028,956272,11963232,30710490,31642438,15141232,5489422,616238,1986,na,na,na,na,na,na,na,na,na,na,32,na,na,na,15562,2468,0,0,0,0,0,0,794,13210282,83062430,268832,10124620,2174792,2103732,2495698,3849642,63546002,6275326,5972526,0,0,51619006,11106870,9534052,6301186,4021940,2824650,1981898,1578760,835608,6738368,na,31754,11362,34102,2438,na,na,na,na,na,na,na,na,na,na,na,na,na,988317.09,na,na,98339156,408467,788358,na,na,97027226,na,0,na,na,na,52811705.28,32644418.88,11508178.56,36964,54024,133418,1648636,10327592,15384560,23374324,21722520,10845298,7548018,4458406,1099566,na,0,na,0,30022,4508,2963642,29507204,13731536,32128402,17784568,389830,2616,10,na,na,na,na,na,na,na,na,na,101426,1876,973040,27064294,0,0,0,0,0,0,na,244276,62042,62424076,19009252,1779974,289164,90489660,12736146,31964788,22578,0,0,146802370,21194.3,9644,44412824,8114924,6710342,3155846,7137502,8499198,7678000,10570566,263014,122,0,0,pos
1243976,4,7150,2356,0,0,30,290132,3805536,20399296,35160270,30509680,8676690,666892,1052,0,41026352,0,0,0,6354518,8487612,79895038,78082712,15674160,6836622,18,0,0,0,10656,2326,0,0,0,0,0,0,0,14390548,84919872,199158,190952,155652,242444,344054,6303244,67356632,12252144,12664456,0,0,49855304,20054516,8948314,5169876,3436894,2607116,2396344,2984110,1629262,2427842,101925184,52480,31630,23110,20,41026352,1064492,4922216,10734592,296060,260960,241420,226820,243900,260840,245740,319300,78920,1243976.58,101925184,101925184,101570200,435091,58082,108344,269780,99590346,1209600,2272936,0,140,0,70742804.16,20199231.36,8604611.52,9684,19648,1749738,6853494,13015552,15178494,23950074,21088300,11820114,4425900,1177020,250892,200,1158,101925184,0,46030,5158,24502472,5661304,8975938,56785342,3468436,64752,146,0,4204,3054,11273990,4930624,56020,716,0,0,16894932,100758,43958,0,0,18300,20210666,0,0,0,0,523736,649744,130700,83101186,12826110,2440334,525944,82681660,9171428,42337820,445434,0,0,427138120,12136.12,11932,29247086,12763968,11705774,4825700,10423908,19516670,7073896,3807070,145478,28,0,0,pos
881540,na,na,na,na,na,0,0,0,0,339896,13410360,34206904,8807648,274112,2382,20432974,30418,58,na,10144,21326,37624136,28606202,17037758,8776638,na,0,1040,0,na,na,0,0,0,892,178220,33381908,19265436,4209016,5830,0,51670,53264,99756,591042,32530804,23714706,54,6,0,0,22086084,13029226,4649360,3345952,2706726,2619946,4090384,4200532,310992,2100,54685088,na,na,na,na,20432974,899954,9023464,7969640,496940,498160,465120,489420,397600,505660,432620,527440,46380,881540.6,54685088,54685088,58503582,344228,na,na,100100,57041302,1209600,na,na,na,na,49486384.32,48202.56,3660861.12,na,na,0,0,34414,4603350,25278694,23862494,2802076,376986,80202,3086,na,na,54685088,na,61310,11370,4655604,3252108,9160468,37557354,2322466,20620,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,593880,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8824468,9878244,5115314,2893716,10163552,7054914,4872304,3290810,4899348,48632,na,na,pos
1040396,na,na,na,na,na,0,0,64220,914024,7102612,13285400,8124502,1845296,152912,13180,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,12286,4297366,27192494,0,13492,13104,70890,166828,21385574,9852258,0,0,0,0,7365412,16978920,3217252,1170030,600194,422698,416752,893644,210028,227216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31937598,122985,na,na,na,31502146,na,na,na,na,na,na,na,na,74752,na,0,178660,691904,2032376,8610896,12828194,5487118,1556352,112248,4398,na,na,na,na,14366,3016,5332438,7625658,5428508,12437360,644068,16728,4,0,370,7426,14254000,5080592,0,76662,0,0,14938564,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.2,0,15622958,3704916,2204364,657430,1081464,1435594,2582784,4201918,10718,0,na,na,pos
570588,na,na,14648,na,na,228,187392,2989054,9494510,15821810,19437214,7688802,1494602,155244,1652,17896614,6772,0,na,3886844,6900454,33423886,28113610,21918984,8564540,na,0,0,0,na,na,0,0,0,0,0,0,1810646,24007496,31452362,4,107164,73948,128288,198824,5821610,50940600,66,0,0,8,18441214,20411988,6105322,3821624,2491154,1779578,1455656,1847958,805328,110686,59231288,na,na,na,na,17896614,834122,5582416,16303424,204920,262500,539780,529840,515640,460920,459000,434200,418720,570587.85,59231288,59231288,59606632,296165,na,na,1120380,57270508,1209600,na,2282,212,0,40932695.04,7025.28,16325189.76,2116,9696,364030,4932396,10734072,17838610,15972918,6952424,443740,29102,3188,28,226,na,59231288,na,22182,4774,1610912,14397642,4703790,36261436,269748,24,0,0,19648,60594,27340406,3443336,2924,53384,0,0,29042982,na,na,na,na,na,na,na,na,na,na,515924,na,na,na,na,na,na,na,na,na,na,na,na,na,9543.62,12196,16946988,15558142,7008642,2293064,3817788,5975738,3981364,1586944,101830,8,na,na,pos
278498,na,1648,1248,0,0,0,1096,191166,2027984,5149866,7895420,3783992,659856,70952,0,8997246,0,7032,na,794988,1185196,16892672,15511224,4141712,1789820,4,0,0,0,3648,782,0,0,0,0,0,0,0,2778260,17002072,0,67494,37292,47778,58888,584230,18973908,8242,2492,4,4,6224222,5226788,2832234,1848150,1043424,703192,591052,670130,363522,277618,21831942,10864,13044,7400,10,8997246,282856,1616610,2517460,221640,207360,236600,256360,277520,282020,249860,237880,5140,278498.38,21831942,21831942,21884184,127438,1918,na,29560,19780332,1209600,440214,0,894,0,13977333.12,4259198.4,1534409.28,na,na,18608,1089804,3311004,6613108,6500726,2076062,148310,20326,2384,0,1850,2818,21831942,na,19250,4654,3859240,1244488,5810884,8429180,13882,358842,39912,0,2312,948,12357282,6156014,150,148908,0,0,12562758,12508,4286,na,na,na,na,na,na,na,na,171006,73230,23782,0,0,517724,87682,82400,9290,0,0,0,0,na,na,na,5904868,2111634,1194440,508394,1092626,1095150,1986518,5532058,352358,2286,0,0,pos
878804,na,na,na,na,na,0,0,0,0,358858,10092152,35333390,8234746,86584,52,20085478,748,0,na,6648,15288,39023504,30081842,15970998,8696742,na,0,3850,0,na,na,0,0,0,0,842,4630962,20542714,23986952,4944312,0,48704,58142,144844,918010,35882654,17053170,254,4,0,0,20909294,7846716,4340736,3388142,2948084,4103974,8531334,2037078,424,0,55008986,na,na,na,na,20085478,880850,8415998,7514592,630780,585840,485180,414960,355960,373120,363120,325460,214160,878804.9,55008986,55008986,55014526,384756,na,na,441880,54105782,1209600,na,na,na,na,49192932.48,0,4892057.28,na,na,0,0,55384,3828544,23662052,24408354,1936692,168722,44446,1588,na,na,55008986,na,32582,8042,2297264,2018972,10426702,37578078,1719390,24750,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,525314,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5165660,9358046,7510344,3839268,7833966,7138788,7107966,3677008,2457190,17546,na,na,pos
954604,na,na,0,na,na,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,954603.39,na,na,218,0,na,na,na,0,na,na,0,0,0,49444089.6,0,8561554.56,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,na,na,pos
1313722,na,na,378,0,0,0,0,238,1293854,5530584,5365826,1187110,41270,1752,0,33842952,44162,0,na,6196044,8275736,66905958,64485760,17545910,6138572,8,0,0,0,44120,13386,0,0,0,0,0,0,19412,5292832,8108390,0,73690,39088,39218,68822,9855834,3343982,0,0,0,0,1531312,2720578,2290962,1565374,1278318,976446,722972,596394,404310,1333968,90671386,67882,80212,64630,3864,33842952,868396,8258952,9250220,247000,189800,181620,200620,209500,216480,307040,267380,207080,1313721.15,90671386,90671386,14458588,81232,6826,na,955740,13420634,1209600,2424882,2390,240,0,71625209.28,0,11132028.48,1910,6126,0,80980,2225774,4392588,4526576,1928034,234084,29560,3038,0,120,4060,90671386,na,19120,4146,1013866,664038,2012274,8475902,1209344,21944,0,0,402,7114,10481126,4916646,30,15054,0,0,10717504,166666,7916,na,na,na,na,na,na,na,na,585056,388652,108494,0,0,2824588,433118,461360,96204,0,0,0,0,na,9934.08,7544,1871346,2031202,1074826,440432,1186182,3842402,2277606,620916,75722,0,0,0,pos
1098482,na,na,na,na,na,0,0,0,9156,814074,32956650,41565380,2421114,18252,0,28707156,0,10022,na,16808,22306,68439786,63884524,10584474,4241110,na,0,0,0,na,na,162344,124292,117824,2564540,1692858,2794466,5522044,55369768,9436490,0,58408,73038,193482,1578064,43258552,32623030,52,0,0,0,25229574,27645974,10408198,5526350,3525310,2506398,1986310,903336,52850,326,79045866,na,na,na,na,28707156,810386,4792088,5774856,143140,138040,169040,154080,180520,188240,168180,152120,31760,1098482.69,79045866,79045866,79099256,363793,na,na,319100,77784626,1209600,na,na,na,na,69112077.12,0,8648553.6,na,na,0,0,93092,9436140,49857352,17235826,1018822,131988,11364,42,na,na,79045866,na,41218,9344,1087130,7239242,4183194,49217572,15955008,51898,20,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,301284,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9076994,14476826,13752280,8260934,23790782,6878094,1120690,271746,155276,1004,na,na,pos
1046678,na,na,na,na,na,0,0,0,436,251648,25111410,65629608,12991588,443816,20104,43961270,101922,50,na,7454,10108,84350344,72557734,26084636,11331566,na,0,561310,0,na,na,351560,214754,970906,5372654,8420768,16308558,24310136,48233994,265280,0,146808,145434,303530,541498,4975052,98285122,51166,0,0,0,38818406,26646008,14541958,11628314,7841128,3531198,1333026,108528,44,0,110455962,na,na,na,na,43961270,1387394,12777670,13216004,451220,361340,365680,315560,346900,328780,334300,425660,67800,1046678.47,110455962,110455962,110485950,496455,na,na,188800,104448610,1209600,na,na,na,na,91561859.52,0,12846313.92,1828,19974,0,0,57696,4974432,53830742,40485446,4657206,397174,44424,1490,na,na,110455962,na,86194,16988,6045832,5848332,9110162,69231878,13914648,194566,10,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,811560,na,na,na,na,na,na,na,na,na,na,na,na,na,36961.68,43216,13402382,44001218,23766238,10024622,9623512,2517604,593484,227084,290372,2094,na,na,pos
1206594,na,na,na,na,na,0,40456,1434120,11771014,27381866,27559114,8491028,1267364,181506,6384,31304196,247456,0,na,3910928,7320264,51007804,42264680,24309334,11873172,na,0,1716,0,na,na,0,0,0,0,0,0,1822,47025954,31105076,0,125634,70734,140148,243560,33551804,44000958,14,0,0,0,17946798,17078678,9691614,9337854,6737144,4425488,3370594,4411462,3386756,1746464,79230650,na,na,na,na,31304196,1346478,7298814,16988366,536440,435420,366900,451260,611380,598460,542920,398380,204480,1206593.71,79230650,79230650,79877082,695497,na,na,537440,78132852,1209600,na,na,na,na,61511059.2,2.88,16629302.4,na,na,373104,1592670,9163126,27054100,24672134,12188072,2927240,146614,15346,446,na,na,79230650,na,34228,8870,11880894,6676974,25295008,34197020,39858,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,855208,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16939454,7546942,6680234,3335844,8326242,9441772,9574658,15840500,447112,94,na,na,pos
1399260,na,na,na,na,na,0,0,0,6446,1522768,16073400,52009652,19122156,261182,764,15026638,240332,162,0,20252,52550,29602172,21737716,20399468,7001596,na,0,0,0,na,na,0,0,0,0,370,6681228,36760168,39945968,5608634,0,95498,100758,158626,282490,12800992,75485612,72282,92,14,4,30139856,19237688,9190424,7079116,7283902,10281770,5628062,155550,0,0,50028944,na,na,na,na,15026638,755864,11433940,8869144,833000,755200,480020,659680,684720,581020,496000,328600,225400,1399259.13,50028944,50028944,96165238,584289,na,98424,334800,88996368,1209600,na,na,na,na,80418334.08,0,8546634.24,0,0,0,0,191526,6570602,34124754,41359984,6013696,623490,109830,2486,na,na,50028944,na,62144,13258,4686462,4257706,9327140,62990446,7545802,113396,14,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,465470,na,na,na,na,na,na,na,na,na,na,na,na,na,26457.74,30164,8953564,15953184,13554358,6616014,13808966,12374992,9353786,4617270,3705850,58384,na,na,pos
36306,na,78,42,0,0,0,0,1702,9124,206340,1803354,978026,465190,315820,1145394,2358130,0,120,0,7344,14426,4240454,3707742,929256,504382,0,0,991168,139982,786,16,0,0,0,0,0,0,168,3115802,1808980,0,56014,61946,97338,101670,2034006,2573974,2,0,0,0,1979916,909008,701440,322334,224472,167408,171484,337412,104882,6594,5177190,80,134,224,16,2358130,54788,316318,611724,264700,218040,173100,217480,1310700,1310700,1310700,1310700,52600,36306.01,5177190,5177190,5192174,35365,140,31198,334940,4924950,1209600,106906,0,654,0,2356260.48,1381187.52,1184160.96,na,na,1664,8382,30778,297250,1163066,2079304,1108452,219410,16480,164,12,24,5177190,na,2828,448,717454,709976,1467632,2014942,11670,0,0,0,52,28,2301140,144242,54,1566,0,0,3676962,3454,580,0,0,40,1381290,0,0,0,0,27628,21258,4162,10311708,1728296,116012,17434,299100,33138,4731060,2310,0,0,15567940,na,na,2595362,663086,423126,159914,351398,538896,171918,20360,890,0,0,0,pos
1397064,na,na,na,0,0,0,0,0,1698,475080,9630580,40350768,15625124,1403194,18336298,32012174,534786,648150,na,13734,26002,76044714,62779992,23923438,12304744,0,0,14866,0,0,0,0,0,0,0,0,2615198,30710340,40411142,12086062,0,144920,159934,287840,506204,39173630,45478612,71568,30,4,0,30571964,14201088,7976752,6400830,5334816,5615788,8470062,4229574,1957228,1064640,99993394,3528,3782,5314,2490,32012174,1297592,10085106,13744032,269320,340220,381100,450660,496100,446380,419020,451580,156060,1397063.8,99993394,99993394,89602592,612536,15240026,na,624700,85822742,1209600,0,na,na,na,77388672.96,0,8339646.72,0,0,0,0,48526,3254788,29141554,45464682,7002390,714234,183836,12732,na,0,99993394,na,77350,15974,5402048,3251964,26195676,48476294,2375366,28070,0,0,na,na,na,na,na,na,na,na,na,51964,1862,na,na,na,na,na,na,na,na,865456,1047788,292690,0,0,3056730,623562,129904620,61286262,0,0,0,0,na,32118.84,36334,8816166,14974806,11948848,6019830,11571782,10022972,8479544,5196762,8173980,618052,0,0,pos
802166,na,na,na,na,na,0,0,0,8442,800408,14857362,32013182,7605672,107664,1736,19563152,419136,0,na,10018,27788,27011058,20923320,10194794,5420704,na,0,3672,0,na,na,0,0,0,0,30244,14384378,28033444,12917930,28470,0,73028,70330,142978,2332418,37405580,15361496,8490,42,26,78,24299034,9817638,5194676,3903096,3184012,2845158,3008324,2850372,288562,3594,37220234,na,na,na,na,19563152,690230,4561004,5586038,634920,604860,587760,548940,418180,260460,402500,234540,552100,802166.75,37220234,37220234,56827550,325375,na,na,860700,55394466,1209600,na,na,na,na,48157126.08,0,7216480.32,na,na,0,0,60132,3030326,20499874,26404564,4801004,491394,102452,4720,na,na,37220234,na,42982,9524,4692574,3495884,21932554,24000426,1205796,14726,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,478182,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7470388,11200032,9013450,4749618,8407106,5583614,3860254,2405458,2607226,97320,na,na,pos
341116,na,730,na,0,0,0,6782,243092,2693264,10294678,9608032,2562786,273232,16388,0,9775094,3172,2350,5388,1359444,1929424,19564336,18020068,5264904,2514278,10,0,0,0,6976,2488,0,0,0,0,0,0,0,3144662,22448670,104922,49648,39782,49668,131628,2067150,23360370,8,0,0,0,9420598,4747954,3393120,2827872,1681118,991346,739860,841464,504824,550098,26191266,4674,23712,10408,4,9775094,315060,1297770,3959792,232620,195380,228920,226300,194560,206020,281920,350040,250840,341115.82,26191266,26191266,26120122,169720,221702,56370,762740,25698254,1209600,0,na,na,na,17296620.48,2258511.36,6125031.36,54784,na,42282,1143164,5979656,11303600,5793224,1321952,99682,13872,822,0,na,0,26191266,na,12088,2360,3738978,4075366,3525392,14304144,39926,0,0,0,na,na,na,na,na,na,na,na,na,22192,1054,146720,2306300,0,0,0,0,0,0,167918,75808,20110,0,0,525302,96156,24306140,3354074,0,0,0,0,32522970,0.22,0,8513072,2415170,1392970,670836,1622420,2006306,5831812,3198600,47068,0,0,0,pos
588968,na,na,na,0,0,0,0,0,0,357146,15971638,50483018,11404814,60968,0,42270266,38824,1624,na,156,214,73103576,68702912,6399038,3824514,0,0,0,0,0,0,0,0,0,0,0,1924414,45347902,24677084,6328184,0,53490,40282,67154,273422,40191826,37635818,15544,44,4,0,29378580,12554362,7567820,5676620,4646894,5267572,11880622,1305114,0,0,79504638,56,62,134,0,42270266,790408,3200574,3171276,95740,171840,150880,93200,128280,87860,90680,102960,124220,588968.64,79504638,79504638,79148556,569538,2038,na,793180,78277584,1209600,0,na,na,na,72272904.96,0,5940917.76,0,0,0,0,25538,3959706,33925202,36100446,3861708,326318,76622,2044,na,0,79504638,na,42308,8542,4724174,2762078,8768236,60072104,1882034,18106,2,0,na,na,na,na,na,na,na,na,na,238,106,na,na,na,na,na,na,na,na,339476,176,50,0,0,2340,414,69660,13758,0,0,0,0,na,14504.78,16884,6293768,11024986,9100448,4843778,9159152,8653638,9698704,8336632,10952456,214022,0,0,pos
391498,na,na,na,na,na,0,0,8980,1469514,21424158,24048014,11175060,1124966,75426,4834,21409080,594414,2436,na,342366,948406,36236688,25170778,24356884,11014332,na,0,50090,0,na,na,29705862,10707828,3100920,1403050,3001586,2420930,3412424,4471656,1106696,0,117758,121908,243262,2599272,29119676,26766626,362244,98,4,104,38014520,6215758,4289440,4170604,3417088,2149154,975792,98246,350,0,60949972,na,na,na,na,21409080,847176,8092428,16232846,627100,531260,451080,524740,423900,469900,453940,440980,232200,391497.76,60949972,60949972,61000912,244369,na,na,316980,59330952,1209600,na,na,na,na,44385895.68,0,14897651.52,0,0,1120796,436488,2054134,22610404,21030940,7807534,4060868,179934,29012,842,na,na,60949972,na,73578,15734,7535746,4194060,13333040,30419710,3732024,27060,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,633898,na,na,na,na,na,na,na,na,na,na,na,na,na,28476.38,32602,15337432,30625512,9747428,1668522,1420000,369742,102656,36192,22962,506,na,na,pos
409376,2,2212,1992,0,0,0,46562,938416,5301226,10988294,8176700,1997812,191328,13938,312,10893608,45216,0,0,2656850,3644378,20930808,20688074,5667876,2175360,12,0,0,0,11296,4396,0,0,0,0,0,0,12502,9969876,17657814,14396,144626,82768,88972,104256,3742874,17652680,3439966,2398446,0,0,9519984,5035726,3232748,2264340,1735166,1373396,996240,769830,383976,2343182,29263380,4116,10272,23066,50,10893608,330074,2150176,3507484,252560,203900,211860,209800,299820,216540,206440,198420,32600,409376.94,29263380,29263380,28934086,169881,594,106542,168600,27695280,1209600,733202,2,1788,0,22096947.84,0,5569985.28,3836,14530,468668,1032466,2766034,3750108,5314976,3664372,3454510,3694194,2801280,707980,1518,1600,29263380,0,51030,6890,3271822,2195434,1801286,18339704,1917470,69694,1258,0,3364,9400,21733816,7515000,319698,28614,0,0,22291282,35088,9920,0,0,0,0,0,0,0,0,206382,116234,27658,0,0,889588,162684,358580,45674,0,0,0,0,18132780,na,14356,5770296,3803844,2233136,1211228,3347350,4201142,3360308,3690924,36360,0,0,0,pos
290970,na,na,na,na,na,0,0,0,208406,7517788,18064944,11724448,1843864,368888,22422,15800078,931370,0,na,309826,882426,24185642,14952054,16327548,9286026,na,0,45004,0,na,na,17791214,4300632,1028542,727098,697698,663432,4008108,9771552,762484,0,20796,13000,21774,151172,18247066,20257266,1039680,6,0,0,24198856,7150372,3322422,2195432,1502654,823970,394118,153704,9108,124,40826078,na,na,na,na,15800078,632850,5383026,10907356,470120,424200,496520,467420,473940,471120,527500,480000,313700,290970.41,40826078,40826078,40861986,148849,na,na,854160,39750760,1209600,na,na,na,na,32207187.84,0,7528355.52,na,na,0,1866,207914,7454100,19487962,10711598,1592364,253884,40314,758,na,na,40826078,na,28012,6788,4305056,1906162,8958300,22288926,2210020,47496,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,516068,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7757082,21924332,3486026,1668040,3612930,1020856,172894,51756,55754,1090,na,na,pos
